name,institution,delete
Thomas Klausch,"Department of Methods and Statistics, Faculty for Social and Behavioural Sciences, Utrecht University, Utrecht, The Netherlands",
Friederike Frank-Schultz,Universität Hamburg,
Amber Settle,DePaul University,
Ibtissam Sabbah,"Lebanese University, Saida, Lebanon",x
F. Dauriat Zanetta,Geneva University Hospitals,
Marina Romeo,University of Barcelona,x
Madeleine Sanders,University of Newcastle,
Michelle Bryant,North Carolina State University,
Emmanuel Adu-tutu Bofah,University of Helsinki,
Xiao Kun Yu,Cornell University,
Katie Shilton,University of Maryland College Park,x
Alexandru Cojocaru,"The World Bank Group, 1818 H St, NW, Washington, DC 20433, United States",
Hale Ilgaz,Ankara University,x
Valentina Di Stasio,University of Amsterdam,x
Katie SHILTON,"University of Maryland, College Park - College of Information Studies",
Farooq Azam Rathore,"Bahria University Medical and Dental College, Karachi, Pakistan",
Maryam Ahmadabadi Arani,Tehran University of Medical Sciences,
Rémi Nazin,"PErSEUs (EA 7312)Université de Lorraine,Nancy,France",
Long Cheng,"Northeastern University, Shenyang 110819, China",
Sadika Rjiba,Facult´e des Sciences Economiques et de Gestion,x
Christina Hurlock‐Chorostecki,Western University London,
Fabiola Itzel Villa-George,Universidad Autónoma de Madrid (Spain),
Razatul Shima,University of Malaya,
Cristina Galalae,Bucharest Academy of Economic Studies,
Arturo García,Cristóbal Colón University,
Razatul Shima,University of Malaya,x
Anna Coluccia,Università degli Studi di Siena,
Nianbo Dong,University of Missour,
Dale Willits,The University of New Mexico,
C D Anderson,"Colorado School of Mines, Kroll Institute",
Dale Willits,The University of New Mexico,x
Ville Ilmarinen,"University of Helsinki, Helsinki, Finland",
Michael Rönnlund,Umeå University,
Sadika Rjiba,"Facult´e des Sciences Economiques et de Gestion, Tunisie",
Jeonghyun Kim,University of North Texas,
Arturo García-Santillán,Administrative-Economic Research Center at Cristóbal Colón University (Mexico),
WANG Jin-e LI Yue,Department of educational An-yang academy,
Thwala Wellington,University of Johanesburg,
Barbara Vanaelst,University Hospital,
M.R. Talebi,Islamic Azad University,
Travis Nauman,West Virginia University,
Tazeen H. Jafar,Aga Khan University,
Christopher Gedeon,Arizona State University,x
Manuel Egele,Vienna University of Technology,
Jonathan Penm,The University of Sydney,
Darrin Rogers,Ohio State University,
Mohit Bhandari,"Division of Orthopaedic Surgery, Department of Surgery (M.B., D.W., and B.P.), and Department of Clinical Epidemiology and Biostatistics (K.F. and S.S.), McMaster University",
Gracie D. J.,University of Leeds,
Alessandro Pinheiro,The Brazilian Institute of Geography and Statistics (IBGE),
U. Engel,Routledge/Taylor & Francis Group.,
Francisco Javier del Río Olvera,"Andalusian Institute of Sexology and Psychology, Málaga, Spain",
Andrea Vocino,DEAKIN University,
Priscila Sato,Federal University of São Paulo,
Ingegerd Ericsson,"Malmo University, Malmo Sweden",
Chun Tam,"Fairfield Hospital, University of New South Wales",
Grace Skrzypiec,Flinders University,
R M Stanley,"Exercise for Health and Human Performance Group, School of Health Sciences, University of South Australia, Adelaide, South Australia, Australia",
C D Anderson,Kroll Institute,x
Felix Nandonde,Aalborg University,
Zh Puzanova,Peoples’ Friendship University of Russia,
Mehdi Menai,Université Paris,
Darrin L. Rogers,"Department of Psychology , The Ohio State University , Columbus , Ohio , USA",
Seyed Jamal  F. Hosseini,Islamic Azad University,
Michael Windle,"Emory University Atlanta, GA 30322 USA",x
Cyrus Motamed,Institut Gustave-Roussy,
Hiremath P. S.,Gulbarga University,x
Stefan Liebig,Universitätsbibliothek Bielefeld,x
Jia NI,Asia Pacific Journal of Clinical Nutrition,
Rebecca Stanley1,University of South Australia,
Eun Sook Kim,University of South Florida,
John Duffield,"University of Montana, Missoula",
Kirsten Martin,"Strategic Management and Public Policy, George Washington University.",x
Hiew Yi,"Asian Institute of Medicine, Science and Technology (AIMST) University, Bedong 08100, Kedah, Malaysia",
A. Harries Priscilla,Brunel University,
Jackie Stokes,Social Service Worker Program College of New Caledonia,
Riitta Suhonen,"University of Turku, Finland",
Suchi Parekh,"University of North Carolina at Chapel Hill, NC (UNC)",
Francisco Sáez-Martínez,Universidad de Castilla-La Mancha,
Tomàs Aluja-Banet,Polytechnic University of Catalonia,
John Duffield,"University of Montana, Missoula",x
Myrna Keurhorst,"Radboud University Nijmegen Medical Centre, Scientific Institute for Quality of Healthcare (IQ healthcare), P.O. Box 9101, 114 IQ healthcare, 6500 HB, Nijmegen, The Netherlands",
Jason D. Hans,University of Kentucky,
Alberto Humala,Central Reserve Bank of Peru,
V.V. KRAVTSIV,Vasyl Stefanyk Precarpathian National University,
Brian Sylcott,Carnegie Mellon University,
Myrna Keurhorst,Radboud University Nijmegen Medical Centre,x
Sharon Lohr,Westat,
ONYEBUCHI A.ARAH,University of California,
Saher S. Hashem,Cairo University,
Laura Feuerborn,"University of Washington, Tacoma, USA",
Francisco Jose Sáez-Martínez,Dublin City University,
Henry Punzi,Punzi Medical Center,
Michael Windel,Emory University,
Priscilla Harries,"School of Health Sciences and Social Care, Brunel Institute for Ageing Studies, Brunel University, Uxbridge, UK",
Suchi Parekh,"SVIT, Vasad, Gujarat, India",x
Myrna N Keurhorst,Scientific Institute for Quality of Healthcare,
William Wells,Sam Houston State University,
Marina Romeo,University of Barcelona,x
A. N. Moghanlou,"Departement of Agronomy and Plant Breeding, Tabriz Branch, Islamic Azad University, Tabriz, Iran.",
Hak Tam,National Taiwan Normal University,
M Malakootian,"Environmental Health Eng. Research Center and Dept. of Environmental Health, Kerman University of Medical Sciences, Kerman, Iran",
Daniel Donoghue,"Canterbury Christ Church University, Faculty of Social and Applied Sciences , School of Human and Life Sciences",
Peter Achterberg,UNIVERSITY ROTTERDAM,
Jichuan Wang,George Washington University,
Raymond Hubbard,"Drake University,Blackburg,USA",
Armando CONAGIN,Instituto Agronômico de Campinas,
Anne Brédart,"Institut Curie, Paris and University Paris Descartes",
Marina Romero Delgado,University of Barcelona,
Suchi Parekh,"Vasad, Gujarat, India",x
Yu Yu,Xiangya Hospital of Central-south University,
A. Moghanlou,Islamic Azad University,
K.A.S Dhammika,University of Kelaniya,
Mahmud Abdulkader Mahmud,"Department of Medical Microbiology and Immunology, College of Health Sciences, Mekelle University, Mekelle, Ethiopia",
Hale Ilgaz,Ankara University,
Robert L. Williams,University of New Mexico,
Mahmud Mahmud,"Department of Medical Microbiology and Immunology, College of Health Sciences, Mekelle University, Mekelle, Ethiopia",
Niamh A. Fingleton,University of Aberdeen,
Yves Van Vaerenbergh,University of Guyana,
K.A.S. Dhammika,University of Kelaniya,
Daniel Weinland,"Deutsche Telekom Laboratories, Berlin Institute of Technology, Berlin, Germany",
P Hewitson,University of Oxford,
R. Lasala,New York Structural Biology Center,
Pei-Hsin Lin,"Division of Neural RepairNeurological Institute, Taipei Veterans General HospitalTaipeiTaiwan, Republic of China",
Yu Yu MPH,University of Washington,
Karen E. Gerdes,Arizona State University,
Maureen Murdoch,"University of Minnesota School of Medicine, Minneapolis, MN, USA",
Yannick Morvan,Wright Medical,x
Ralph Lasala,New York Structural Biology Center,
Wei Fu-wei,Hechi University,
Tomasz Buchert,Université de Lorraine,
M Beckmann,Brown University,
Allen Kachalia,"Brigham and Women's Hospital,Boston",
Pablo Pérez,Universidad de Alicante,
Megan Armstrong,"University of Nevada, Reno",
Peter Jacobebbinghaus,University of Bielefield,
Ravi Lingineni,University of North Texas Health Science Center,
Yannick Morvan,Wright Medical,x
Markus Soini,"Department of Sport Sciences, University of Jyväskylä, Finland",
Louis M. Marmon,"Medical Center Drive Office Rockville, Maryland",
Kiyanoush Ghalavand,Panjab University,
Christain Werner,Wiley Online Library,
Tshoki Zangmo,Centre for Bhutan Studies and GNH Research,
Hesham ElSawy,University of Manitoba,
Marco Fontana,Università degli Studi “Roma Tre”,
Eyüp Çelik,Sakarya University,
A Maltseva,Tver State University - Lurye Scientific and Methodological Center for Higher School,
Marco Fontana,Università degli Studi “Roma Tre”,x
Elizabeth Goering,Indiana University - Purdue University Indianapolis,
Adham Atyabi,Flinders University,
Kiarash Keshmiri,University of Tehran,x
Jennifer Lemacks,University Of Southern Mississippi,
Dr. Rosalyn Negron,University of Massachusetts,
David Wood,"Clinical Toxicology, Guy’s and St. Thomas’ NHS Foundation Trust and King’s Health Partners, London",
T. S. V. R Neeharika,"Centre for Lipid Research, Indian Institute of Chemical Technology, Hyderabad",
Caro Cilliers,University of Pretoria,
Massimiliano Caporin,"Department of Economics and Management “Marco Fanno,”, University of Padova",
Scott W. Phillips,Buffalo State College,
Audrey Omar,University of Iowa,
Suna Ozkan,"Gaziantep University, TURKEY",
Gudmundur Skarphedinsson,"University of Iceland, The Center for Child and Adolescent Mental Health",
Adham Atyabi,Flinders University,x
Jennifer D. Oyler,"Department of Management, College of Business, Texas A&M University Commerce, Commerce, TX, USA",
José Tomás,University of Valencia,
Nicola Wright,University of Nottingham,
Jennifer Riddell,Arizona State University,
Elizabeth Richards,Purdue University,
Arindam Banerjee,JIS College of Engineering,
Oscar Del Brutto,Universidad Espíritu Santo - Ecuador,
Tsigankov BD,Moscow State University of Medicine and Dentistry,
Dany MacDonald,University of Prince Edward Island,x
Sarah Nicksa,1Widener University,
SUSAN E.DORMAN,Johns Hopkins University,
Peter Lorenzen,Max Rubner-Institut,
Catherine Roster,University of New Mexico,
Nelli Lyyra,University of Jyväskylä,
Shan-Jen Cheng,Army Academy R.O.C,
Mireia Orgilés,Miguel Hernández University,x
Shinya Ito,Toho University School of Medicine,
Hsin-Yu (Ariel) Chiang,Fu Jen Catholic University,
Dany MacDonald,"Department of Family and Nutritional Sciences, University of Prince Edward Island, Charlottetown, Prince Edward Island, Canada C1A 4P3",
Rezarta Shkurti (Perri),Romanian American University,
KONG Fan-cheng JIA Yu,Northwest University,
Kiarash Keshmiri,"School of Chemical Engineering, College of Engineering, University of Tehran, Tehran, Iran",
Jianshu Lv,"Nanjing University, Nanjing 210023, China",
Gabriel Gastélum,"Autonomous University of Chihuahua, México",
BEHROUZI SH.,"IRANIAN FISHERIES RESEARCH ORGANIZATION (IFRO),MAZANDARAN PROVINCE",
Anand Iyer,Alder Hey Children's NHS Foundation Trust,
J. M. Rodríguez Villalobos,University of Chihuahua,
Luis M. Vaquero,Hewlett-Packard LabsBristolUK,
ClóvisAlexandrino- Silva,University of São Paulo Medical School,
Shagufta Yasmeen,University of California,
Elena M. Ukolova,HSE University,
Alireza Nezamabadi,"Islamic Azad University, Arak, Iran",
Ana Figueiredo,Instituto de Pesquisas Energéticas E Nucleares,
Gabriel Cuadras,Autonomous University of Chihuahua,
Stuart Mclennan,Universität Basel,
Kim Soo Jung,"Baylor College of Medicine Houston, TX, US",
Aisha Yousafzai,Aga Khan University,
Vitor Braga,School of Technology and Management of Felgueiras,
Ji Cheng,"Department of Clinical Epidemiology and Biostatistics, McMaster University, Hamilton, ON, Canada",
Robinson Ramírez-Vélez,"Escuela de Ciencias Básicas, Universidad del Valle, Calle 4B 36-00, San Fernando, Cali, Colombia",
J.L. Lesnock,University of Pittsburgh,
M. Lyn Exum,"Department of Criminal Justice and Criminology, University of North Carolina at Charlotte, Charlotte, USA",
Martina Kotzé,University of the Free State,
Sveinung Arnesen,University of Bergen,
", Shawna N Smith",UNIVERSITY OF OXFORD,
Ji Cheng,McMaster University,x
Nicola Belle,"Bocconi University Milan, Italy, Sant'Anna School Institute of Management",
Subir Ghosh,"University of California, Riverside, CA",
Nicola Belle,Sant'Anna School Institute of Management,x
Alexandra G Parker,University of Melbourne,
Jon D Emery,"The University of Western Australia,",
Dóra Forintos,Semmelweis University,
Valérie Siroux,Univ Joseph Fourier,
Kelly Alanis,"The University of Texas at Austin,",
Dr Aisha K Yousafzai,"University, Karachi",
Michelle Jackson,Stanford University,
Moshe Bensimon,Bar Ilan University,
Silvia Donato,CATHOLIC UNIVERSITY OF MILANO,
David Campbell,"Departments of Medicine and Community Health Sciences, Cumming School of MedicineUniversity of CalgaryCalgaryCanada",
BAI Xian-guang,Pingdingshan University,
Marzanne van der Linde-de Klerk,University of South Africa,
Dumitru MIRON,The Bucharest Academy of Economic Studies,
Jaffiol C.,Université Paris Descartes,
Robinson Ramírez-Vélez,Universidad del Valle Calle,x
Jon D. Emery,The University of Melbourne,
"Bensimon, Moshe",Bar Ilan University,
David Heise,Indiana University,
Elzette Keenan,"School of Human Resource Sciences, North-West University, Potchefstroom Campus, South Africa",
Simona Calabrese,Italia Lavoro S.p.A.;,
J.L. Piazza,EAGE,
Rym Bouzaabia,University of Sousse,
Mari B. Pierce,Pennsylvania State University,
Amy I. Cass,California State University,
T Katsaounis,Ohio State University,
Maria S. Altieri,University Medical Center,
Shamsa Aziz,"International Islamic University Islamabad, Pakistan",
Mari Pierce,Pennsylvania State University,
Omar Abdel-Aziz,Ain Shams University,
Linda Crawford,Walden University,
Meike Müller-Engelmann,Goethe-Universität,
Anthony Vance,Brigham Young University - Department of Information Systems,x
Maria Altieri,Stony Brook University Medical Center,
Yumi Suzuki,University of South Dakota,
Liviana Catalano,National Center for Biotechnology Information,
Riane N. Miller,"1Radford University Radford, VA, USA",
Thibaut Vidal,Université de Montréal,
Jacqueline Stokes,College of New Caledonia,
Myrna Keurhorst,Radboud university medical center,x
Jonathan Lukens,"Salem State University, Salem, MA, USA",
Paulo Borges,"Robotics and Autonomous Systems Group CSIRO’s Data61 Brisbane, Australia",
Hadar Aviram,Hastings College of the LawUniversity of CaliforniaSan FranciscoUSA,
Stephen Lawoko,"Karolinska Institutet, Stockholm, Sweden",x
S. B. Tajiri,Waziri Umaru Federal Polytechnic,x
Cees Eijk,University of Nottingham,
Maria Brenner,University College Dublin,x
Guillermina Jasso,New York University,
Tristan E. Lipkie,Purdue University,
Alessandra Lazazzara,University of Milan-Bicocca,
Sarah Brady,University College Dublin,
Vatsal Patel,"G. H. Patel College of Engineering &Technology, Gujarat Technological University, Ahmedabad, India",
Vittorio Mérola,The Ohio State University,
Vatsal Patel,Gujarat Technological University,x
Reinhard Schunck,University of Bielefeld,
Stephen Lawoko,"Department of Public Health Sciences, Karolinska Institutet, Stockholm, Sweden",
Peter Valet,"University of Bielefeld, Faculty of Sociology",
Naoko Kato-Nitta,"The Institute of Statistical Mathematics, Japan; Ibaraki University",
Rajeev Ranjan,Haldia Institute of Technology,
K. L. Jeyaraj,Annamalai University,x
Anthony VanceMarriott,"School of Management, Brigham Young University",x
Kawther Ould Babaali,University Djillali Liabès of Sidi Bel-Abbes. Algeria,
K. L. Jeyaraj,Annamalai University,
David Schwappach,"University of Bern, Bern, Switzerland",x
S. B. Tajiri,"Mechanical Engineering Department, the Polytechnic of Sokoto State",
Alex Buckley,University of Sthratclyde Glasgow,
Juliana Campos,Paulista State University,x
David Schwappach,University of Bern,x
Michael Windle,MIT Humanitarian Supply Chain Lab,
Shima Razatul,University of Malaya,
Juliana Campos,"Departamento de Odontologia Social. Faculdade de Odontologia de Araraquara. Universidade Estadual Paulista. Araraquara, SP, Brasil",
Kawther Babaali,University Djillali Liabès of Sidi Bel-Abbes,
Achim Goerres,"University of Cologne, University of Duisburg-Essen",
Serafino Mancuso,University of Melbourne,
Claudia Diehl,University of Konstanz,
Wynn Shooter,Monash University in Frankston,
Ng Chong Guan,University Malaya,
Aman Khasawneh,Hashemite University,
Thomas Hinz,"University of Konstanz, American Psychological Association",
J. Michael Oakes,"Division of Epidemiology, University of Minnesota",
Britta Renner,"University of Konstanz, Psychological Assessment and Health Psychology, Box 47, D-78457 Konstanz, Germany",
Edith De Leeuw,Utrecht University,
Anthony Vance,Brigham Young University,x
Duarte Valério,Universidade de Lisboa,
Kristin Baughman,Northeast Ohio Medical University,x
Vatsal Patel,"College of Engineering &Technology, Gujarat Technological University",x
René Kager,Utrecht University,
William H. Polonsky,University of California,
Corinna Frodermann,University of Konstanz,
Declan Fay,University College Dublin,
F.M. ARSCOTT,UNIVERSITY OF SURVEY,
Robin Hayeems,"University of Toronto, Toronto, Ontario, Canada",
Florian Keusch,"Vienna University of Economics, Universität Mannheim",
Katrin Auspurg,University of Konstanz,x
Kristin Baughman,"Northeast Ohio Medical University, Rootstown",
Jill Weinberg,Northwestern University,
Katrin Auspurg,Ludwig-Maximilians-University of Munich,x
Timothy Colyer,University of Central Florida,
Caitlin Murphy,The University of Texas Medical School,x
Eva Samuelsson,Stockholm University,x
Forrest .Lane,"University of Southern Mississippi,",x
Jennifer Foucart,Université libre de Bruxelles (ULB),
Caitlin Murphy,"Center for Health Promotion and Prevention Research, University of Texas School of Public Health and Center for Translational Injury Research, The University of Texas Medical School, Houston, Texas; and Division of Health Behavior Research, Washington University School of Medicine, St. Louis, Missouri",
Alexios Kotsifakos,University of Texas at Arlington,
Ee-Yuee Chan,Tan Tock Seng Hospital,x
Michael McKenna,University of Virginia,
Jean Cacas,University of Bordeaux,
Agnieszka Mościcka-Teske,University of Social Sciences and Humanities,
Ahmed Zoha,University of Surrey,
Anthony Vance,"Georgia State University, USA",x
Anna Pinto,Imperial College London,
Michael TenEyck,University of Texas at Arlington,
Pamela Hinds,George Washington University,
Jibin C. Jacob,Department of Mechanical Engineering,
Prof Sinata Koulla-Shiro,University of Yaoundé 1,
Isabel Goicolea,Universidad Umea,
Thomas Oakland,University of Florida,
Merrill Warkentin,Mississippi State University,x
Juan Reyna,Universidad de las Américas,
Isabel Hui-Ling,"CHU Toulouse, Tan Tock Seng Hospital",
Cheti Nicoletti,University of York - Department of Economics and Related Studies,
M Savvopoulou R Shergill,University of Oxford,
Cristina Oliveira,Centro Hospitalar Tondela-Viseu,
Donna Fitzsimons,"Institute of Nursing Research, University of Ulster, Jordanstown Campus,",
Begoña Orgaz Baz,Universidad de Salamanca (Spain),
SH Koller,"Universidade Federal do Rio Grande do Sul, Rio Grande do Sul",
Reinhard Schunck,University of Bielefeld,x
Joachim Jacobs Jacobs,The University of the Western Cape,
Arne Bethmann,"Institut für Arbeitsmarkt- und Berufsforschung, University of Konstanz",x
Dan Dumitraşcu,"Medical II Department, University of Medicine and Pharmacy “Iuliu Haţieganu”, Cluj-Napoca, Romania",
Maria Zafiropoulou,University of Thessaly,
Philip Waggoner,University of Houston,
Demi Patsios,University of Bristol,
Kathy Briffad,"School of Physiotherapy and Exercise Science, Curtin University, Australia",
Chuang Wang,"University of North Carolina at Charlotte, USA",x
ALI REZA GHORBANI,MEDIPOLE (Toulouse),
James Jones,Ball State University,
Amy Vogelsmeier,University of Missouri,
L. Arriaga,Centro de Investigación y Desarrollo Tecnológico en Electroquímica,
López Sánchez F,Universidad de Salamanca.,
Peter Jacobebbinghaus,Bielefeld University,x
Brian J. Taylor,"Senior Lecturer in Social Work at the University of Ulster, Northern Ireland.",
Hebal Kallesh,"Sohar Regional Teaching Hospital, Sohar, Oman",
Johanne Mattie,British Columbia Institute of Technology,
Salaheddine Doumandji,"Department of Agricultural and Forestry Zoology, National High School of Agronomy, El Harrach, 16200 Algiers, Algeria",
R. Gdoura,Université de Sfax,
Anne Smith,University of Dundee,
Charles Hitchcock,Ohio State University College of Medicine,
Cristina Oliveira,Centro Hospitalar Tondela-Viseu,x
Patricia Hawley,"Department of Psychology, University of Kansas, 1415 Jawyhawk Blvd, Lawrence, KS, 66045, USA",
Gilles Freyer,"Department of Medical Oncology, Centre Hospitalier Lyon Sud, Pierre-Bénite, France",
Martin Prince,"Section of Epidemiology, PO Box 60, Department of Health Service and Population Research, Institute of Psychiatry, King's College London, De Crespigny Park, London SE5 8AF, UK",
Ruth A. Anderson,University of North Carolina at Chapel Hill,x
Stefan Liebig,Bielefeld University,x
Matthias Wrede,Friedrich-Alexander-Universität Erlangen-Nürnberg,
Yiran Dong,Indiana University,
Juan Sierra,"Facultad de Psicología, Universidad de Granada, Granada, España",
Brian J. Taylor,University of Ulster,x
Nikolay Iv. Ivantchev,South-West University,
Florian Rabuza,University of Duisburg-Essen,
Ruth A. Anderson,University of North Carolina at Chapel Hill,x
Ross Taplin,Curtin University of Technology,
Haroun Chenchouni,"University of Tebessa, 12002 Tebessa, Algeria",
Juan Sierra,Universidad de Granada,x
S.S. Shrikhande,University of Bombay,
Ruth A. Anderson,"School of Nursing, University of North Carolina at Chapel Hill",
Yavor Yalachkov,"Goethe-University, Frankfurt am Main, Germany",
Brian Taylor,South Eastern Health and Social Care Trust,
Scott Chapman,"Sam Houston State University, Trinity University",
Eun Shil Yim,Daegu Health College,
GILLES FREYER,"Department of Medical Oncology, Centre Hospitalier Lyon Sud, Pierre-Bénite, France",x
Radzuan Razali,Universiti Teknologi PETRONAS,
Sok Ying Liaw,"Alice Lee Centre for Nursing Studies, Yong Loo Lin School of Medicine, National University of Singapore, Singapore 117597, Singapore",
Katrin Gehring,Swiss Patient Safety Foundation,
Matthew J. Miller,University of Oklahoma,
Maria P. Diago,University of La Rioja,
Kalana Malimage,Georgia State University,
Merrill Warkentin,Mississippi State University Mississippi State,
Nazariah Aiza Harun,-,
Xia Gao,Xinjiang Medical University,x
Stephanie Mazerolle,"University of Connecticut, Storrs, CT",
Merrill  State WarkentinMississippi,University Mississippi State,
John L. Cox,University of West Florida,
Leili Laanemets,"School of Social Work, Lund University",
Benjamin Zufiaurre,Public University of Navarra,
Tanja Krones,University of Marburg,
Ellen Berscheid,University of Minnesota,
Xia Gao,First Affiliated Hospital of Xinjiang Medical University,
José Espada,Miguel Hernández University of Elche,
Glen Schmidt,University of Northern British Columbia,
Svetha Venkatesh,"Center for Pattern Recognition and Data Analytics (PRaDA), Deakin University, VIC 3216, Australia",
"Stadlerova, M.",Czech University,
Thushara Fernando,"Division of NCD, World Health Organization",
Jonathan TAYLOR,"School of Nursing and Midwifery, Dundee University, SCOTLAND",
Fran Walsh,Kimberly-Clark Corporation,x
Patrick Letrémy,SAMM - Université Paris,
Liang Chen,"Nanyang Technological University, Singapore",
Jim Coykendall,North Dakota State University,
Addel Salavati,Islamic Azad University,
Annick Willem,Department of Movement and Sports Sciences,
KF Darkwahb,"Kwame Nkrumah University of Science and Technology,",
T. Nickle,University of Albany,
Steven J. Durning,University of the Health Sciences,
Sukkyung You,"Hankuk University of Foreign Studies, Seoul, Korea",
Tali Bayer-Topilsky,"Myers-JDC-Brookdale Institute, Jerusalem, Israel",
Chih Chien Yang,National Taichung University of Education,
Eva Samuelsson,Lund University,x
Mehdi Ghasemi2,"Student Research Committee, Department of Environmental Health, School of Health, Mazandaran University of Medical Sciences, Sari, Iran",
M. Dhurup,Vaal University of Technology,
Mikael Rennemark,Blekinge Institute of Technology,
Nuno Nunes,Lisbon University Institute,
Eva Samuelsson,Stockholm University,x
Angus Nightingale,"Bristol Heart Institute, University Hospitals Bristol NHS Foundation Trust, Bristol Royal Infirmary",
Yoshikazu Terada,National Institute of Information and Communications Technology,
Domingos Giordani,"School of Engineering of Lorena, University of São Paulo",
Giulio Zavattini,Università degli Studi di Roma La Sapienza,
Eva Samuelsson,Lund University,
LD Marceau,"New UK Research Institutes, Watertown, USA",
Judith Finegold,Imperial College London,
Aldo-Javier Prizmic-Kuzmica,EADA Business School WebsiteDirections Save,
Thwala W.D.,"University of Johannesburg, Johannesburg, South Africa",
Stephanie Pausch,University of Bielefeld,
Patrick Y Ango,"University of Botswana, Botswana",
Cameron McIntosh,Public Safety Canada,
Dennis VanEngelsdorp,University of Maryland,
David Schwappach,"UNIVERSITY OF BERN, INSTITUTE OF SOCIAL AND PREVENTIVE MEDICINE (ISPM), BERN, SWITZERLAND",
Mahboobeh Azadehrah,"Depatment of Obstetrics and Gynecology, School of Medicine, Isfahan University of Medical Sciences, Isfahan, Iran *For correspondence: dr.azadehrah@gmail.com",
Clare Gaskins,University of Delaware,
John Paul Hatala,School of International Hospitality and Service Innovation,
Maria Mundim,Pontifícia Universidade Católica de Campinas,
Linda M. Crawford,Walden University,
David Schwappach,University of Bern,x
Lloyd Bond,Carnegie Foundation for the Advancement of Teaching,
Shuqiao Yao,Central South University,
Sara Viotti,University of Turin,
Lisa Najavits,Boston University School of Medicine,
Yoko Iwasaki,"National Center for Child Health and Development, Tokyo, Japan",
Brock Bass,Clemson University,
Mahboobeh Azadehrah,"Depatment of Obstetrics and Gynecology, School of Medicine, Isfahan University of Medical Sciences, Isfahan, Iran",x
Dustin Ormond,College of Busines,
Jolein Gloerich,Nijmegen Proteomics Facility,
Michael Bornstein,University of Bern,
Marcelo Villar,Austral University,
Maria Solevid,University of Gothenburg,
Nabil Droubi,"Lebanese University, Nabatieh, Lebanon",
Silvia Maria Amado João,Faculdade de Medicina da Universidade de São Paulo – USP,
David Haziza,Université de Montréal,
Adital Ben-Ari,University of Haifa,
Scott M. Smith,"(Qualtrics, Inc., Provo, Utah, USA)",
Daniel McFadden,"3Workers Compensation Research Institute, Cambridge, MA, USA",
Sun-Hyun Kim,"CHA University, Pocheon, Korea",
Allen C. Johnston,University of Alabama Birmingham,
Ross Taplin,Curtin University,x
Sunil Wimalawansa,Cardio Metabolic Institute,
David Dunt,"Centre for Health Policy, Program and Economics Melbourne School of Population Health, University of Melbourne Australia",
Silvia João,Faculdade de Medicina da Universidade de São Paulo,
Maaret Castren,Karolinska Institute,
David Ogilvie,"Institute of Public Health, Cambridge UK",
Nilay Shah,Mayo Clinic,
Michael M Bornstein,Prince Philip Dental Hospital,
Ada C. Mui,Cambridge University,
Karina Mostert,North-West University,x
Harry Bouwman,Delft University of Technology,
David Haziza,Universite de Montreal,x
Rosario Ortega-Ruiz,University of Cordoba (Spain) & Visiting Professor at University of Greenwich (United Kingdom),
Philip Menard,PhD studen in Information /systems at Mississippi State University,
Sang Lee,Korea University,
E John Gallagher,Albert Einstein College of Medicine,
Begoña Baz,University of Salamanca,
David R Vinson,Sacramento Medical Center,
Elmar Braehler,University of Leipzig,
Ron Hays,"Department of Medicine, University of California, Los Angeles",
Adriana Lis,University of Padova,
Elizabeth A Klonoff,"Clinical Psychology, USA",
Sante Orsini,Socio-demographic and Environmental Statistics Directorate,
S. TENGEY,Standard Chartered Bank Ghana,
Beverly Green,Group Health Research Institute,
Annabelle Chow,Shanghai Jiaotong University,
Kok-Mun Ng,"University of North Carolina at Charlotte, NC, USA",
Elizabeth A Klonoff,"Clinical Psychology, USA",x
Arturo Sanmartín,University of Seville,
Cristian Preda,Université Lille 1 and Inria Lille-Nord Europe,
Ángela Viviana,"Pontificia Universidad Javeriana, Faculty of Medicine, Master in Clinical Epidemiology",
Hamid EL BILALI,Parthenope University of Naples,
Song Lin Ng,University Tunku Abdul Rahman,x
Philippe Colombat,François Rabelais University,
R. Urbán,"Institute of Psychology, university Budapest, Hungary",
Klarita Gërxhani,University of Amsterdam,
Ze Xiao,"Shanghai Mental Health Center, Shanghai Jiaotong University School of Medicine, Shanghai 200030, PR China",
Saulo Sirigatti1,Department of Human SciencesEuropean University of RomeRomeItaly,
Chi Tai Fang,National Taiwan University,
Stefanie Gundert,Institut für Arbeitsmarkt- und Berufsforschung (IAB),
Christina Meyer,Friedrich-Alexander-University of Erlangen-Nürnberg,
William Doucette,"University of Iowa College of Pharmacy, Iowa City, USA",
Goodwin Meghan,CLEMSON UNIVERSITY,
Mirjam Hausherr,Institute of Sociology at the University of Zurich,
Hiroko Yamada,Nara Institute of Science and Technology,
Mohammed Fadli,Laboratory of Biodiversity and Natural Resources,
Gerard M Fealy,University of College Dublin,
Holger Schünemann,"McMaster University, Hamilton",
Akanksha Chandrakar,"Rungta College of Science & Technology, Durg, Chhattisgarh, India.",x
Cairns Deborah,Brunel University,
Meghan Goodwin,Clemson University,
Lisa Wallander,Malmo University,x
Scott Frickel,"Brown University, United States",
ZePing Xiao,"Correspondence to Zeping Xiao, MD, PhD, Shanghai Mental Health Center, 600 South Wanping Road, Shanghai 200030, PR China.",
Shi Xuezhong,Zhengzhou,
Teppei Yamamoto,Massachusetts Institute of Technology,
